DEN_Z_URB,avg_CO_2_per_road,CO_2_alpha,avg_NO_x_per_road,NO_x_alpha,avg_PM_per_road,PM_alpha,avg_VOC_per_road,VOC_alpha
Tiburtino Sud,193.16658966622825,1.6407600098116026,0.08415020845479201,1.662015832634538,0.0007083938185012534,1.668159907592027,0.31146604609246015,1.6802111925040468
La Rustica,376.71939824760886,1.3050292961190193,0.11707748411666798,1.3519060603590936,0.001164484386483693,1.2260240811273362,0.6645186849253178,1.3968978980461317
Acqua Vergine,476.41480879918544,1.270218420743011,0.14636329366846676,1.3184676808516267,0.0014030916461193394,1.2572603094523829,0.825301499384873,1.3755174032838888
Settecamini,279.7114637358395,1.5005658644326294,0.09105635191254978,1.5478814711639777,0.001441713660090317,1.5182122900733837,0.5233374007104192,1.5406492238144822
Lunghezza,99.80665302877048,1.5343008297830434,0.035608410286073165,1.6318028846968335,0.0003978013800036925,1.558085991611608,0.1907941743043401,1.7336741901555115
S. Vittorino,625.977843113106,1.257198912934316,0.265064416556768,1.2969869652992028,0.004290434766150745,1.4343142087353036,1.127220757558768,1.2814520571387884
Centro Storico,98.91504088270757,1.348531662098853,0.07407360415456606,1.422104612657203,0.004670503188836163,1.1747672209895255,0.2047967384777403,1.8240293408615358
Trieste,86.95866420592786,1.6721723568239129,0.04378544997583712,1.7420985447741453,0.0014852495355069711,1.4595806278244314,0.19301303098114356,1.8659225375717796
S. Lorenzo,18.624669877229593,1.1100337135565836,0.015410183787268276,1.2480807538001557,0.0005280472052209803,1.3328437687629484,0.07851550078194122,1.277156507374046
Nomentano,54.145526528230555,1.564361350971732,0.032783925331799246,1.6563310885372142,0.001189923673290831,1.366898851726094,0.14660977429456123,1.84472432864357
Casilino,18.796418324609597,1.3396400760993035,0.015178729581748485,1.377356132673726,0.000710147739243303,1.504189956711878,0.06832746741820302,1.3618985637563448
Gordiani,14.00012533640228,1.2957355326650906,0.011969884123472083,1.0786893730873015,0.0003471080004949083,1.5184419412780341,0.05719924947199773,1.1111756867405815
XX Settembre,78.86191737116357,1.4647967359574923,0.05699194201339649,1.4809913047781231,0.0033930833953983667,1.2809211472312212,0.1803497921198294,1.6560715117307203
UniversitÃ ,28.389823520891294,1.3782512037608565,0.019944872313802146,1.426207282034133,0.0010990520765072633,1.326839079675996,0.07011349396937543,1.3212151358329858
Torre Maura,230.643812448428,1.5712574140224722,0.07535707462220728,1.4929772542473367,0.000752991489487452,1.3587806688057378,0.4215613316854349,1.5590203393278856
Osteria del Curato,165.381412345706,1.639968156889945,0.061830908235050955,1.599118626801948,0.0009522909124454245,1.455600262608709,0.3516969783429384,1.6150670390687065
Quarto Miglio,297.3798452310161,1.3879007248038957,0.1079916108789444,1.4181912980537426,0.0014844811481618374,1.2675247146511253,0.5258551303802151,1.5234518731683506
Ciampino,468.1767133202568,1.2903098637053585,0.3111300127670989,1.2215782213001036,0.003232737760717584,1.1289204666236534,0.9834366283481679,1.2812190514043431
Tuscolano Nord,20.97910789512608,1.4117968994247028,0.016441608744287507,1.3572469245785141,0.0005391926339179304,1.542152397295105,0.07725265965944918,1.1852365656996984
Esquilino,87.69870356114015,1.5449996083801758,0.06900622128409038,1.6105891206856684,0.004241560409749441,1.2952682957978938,0.18824555873735307,1.6124149798148775
Villa Borghese,67.3944508593816,1.391811804630381,0.03954580386892857,1.3730981185199145,0.002419313309548666,1.4123620951308848,0.12535268095970847,1.3277249134884073
Casal Bruciato,208.68911127750314,1.59257793525068,0.09056656387185301,1.5785301805493996,0.0013938238764192221,1.4368306503449637,0.4239334703427214,1.6243663000466049
Aeropoprto dell' Urbe,407.2029934881171,1.2644652636648943,0.1432166864060197,1.2070276477252793,0.0017075481285711077,1.2180298809546035,0.8415139855689868,1.274028327129189
Fidene,140.37740122152465,1.4121371981000113,0.057813283358814666,1.4376111254846888,0.0008030827833947942,1.3471186997983557,0.302568967577125,1.4175283997597594
Settebagni,210.0300306764167,1.1236065190571565,0.08792957490922597,1.2163029539516517,0.0010396945950227271,1.0032286725248012,0.4327587057076829,1.0749315838674196
